"created_at","screen_name","text","source","retweet_count","favorite_count"
2019-07-29 17:29:30,"realDonaldTrump","Looking forward to my meeting at 2:00 P.M. with wonderful Inner City Pastors!","Twitter for iPhone",6027,27028
2019-07-29 15:55:39,"realDonaldTrump","President Trump signed into law the permanent authorization of the 9/11 Victim Compensation Fund, which provides financial support for families who lost their loved ones as a result of the September 11 attacks. #NeverForget https://t.co/xqlLBCuK1R","Twitter for iPhone",6592,0
2019-07-29 15:54:37,"realDonaldTrump","President Trump gives a statement on the tragic shooting in Gilroy, California. https://t.co/pcrH72ctlg","Twitter for iPhone",3985,0
2019-07-29 15:54:25,"realDonaldTrump","President Trump Signs H.R. 1327 https://t.co/r1YBKEX3hY","Twitter for iPhone",4511,0
2019-07-29 13:18:14,"realDonaldTrump","....countries that know how to play the game against the U.S. That’s actually why the E.U. was formed....and for China, until now, the U.S. has been “easy pickens.” The Fed has made all of the wrong moves. A small rate cut is not enough, but we will win anyway!","Twitter for iPhone",9847,44084
2019-07-29 13:18:14,"realDonaldTrump","The Fed “raised” way too early and way too much. Their quantitative tightening was another big mistake. While our Country is doing very well, the potential wealth creation that was missed, especially when measured against our debt, is staggering. We are competing with other.....","Twitter for iPhone",11026,47444
2019-07-29 12:46:59,"realDonaldTrump","....even to new heights of success and glory, but not with King Elijah and that crew. When the leaders of Baltimore want to see the City rise again, I am in a very beautiful oval shaped office waiting for your call!","Twitter for iPhone",16870,81508
2019-07-29 12:46:58,"realDonaldTrump","Crazy Bernie Sanders recently equated the City of Baltimore to a THIRD WORLD COUNTRY! Based on that statement, I assume that Bernie must now be labeled a Racist, just as a Republican would if he used that term and standard! The fact is, Baltimore can be brought back, maybe......","Twitter for iPhone",21652,92406
2019-07-29 11:48:54,"realDonaldTrump","The E.U. and China will further lower interest rates and pump money into their systems, making it much easier for their manufacturers to sell product. In the meantime, and with very low inflation, our Fed does nothing - and probably will do very little by comparison. Too bad!","Twitter for iPhone",11523,45148
2019-07-29 11:26:08,"realDonaldTrump","Al Sharpton would always ask me to go to his events. He would say, “it’s a personal favor to me.” Seldom, but sometimes, I would go. It was fine. He came to my office in T.T. during the presidential campaign to apologize for the way he was talking about me. Just a conman at work!","Twitter for iPhone",19012,77308
